ANT	dA	POST	TAG
Doğru Muzaffer Beyin odasına gittim  yerinde yoktu . O yıllarda lig maçlarında hakemlik	de	yapıyordu  odacı onun federasyona gittiğini söyledi . Her adım başında  iki üç çocuk benden kartını soruyordu .	NDC
O şaşkın ya da sinirlenmiş gibi elini diğer eline ses çıkaracak şekilde vurarak  Vay  sen nasıl böyle söylersin ?  dedi . Ben de ona   Kendisine güvenen herkes söyler  siz	de	söyleyin   dedim .	DC
İçimi  dışımı yenileyip baştan yarattı beni . Çok	da	başarılı oldu üstelik . Eline sağlık .  	NDC
Halen sigortalı olan hekimlerin  yılda 50 ile 500 milyon lira arasında değişen primler ödediğine dikkat çeken Fırat  özel sağlık kuruluşlarında bu fiyatların çok can yakıcı olmadığını	da	sözlerine ekledi .	DC
 AB içinde birlikte var olacak Türk ve Rum halkları için soruna güvenliğin ötesinde bakılması gerekmez mi ? Fransızlar  eğer geçmiş tecrübeler açısından baksalardı  Almanlara hiç güvenmemeleri gerekirdi . Böyle düşünen Fransızlar hep vardı  fakat aklıselim sahibi Fransız siyasetçiler bu tür   kaygı   lara itibar etmek yerine geleceğe baktılar . Onların haklı olduğunu aradan geçen 40 yıl doğruladı . Bu işbirliği her iki ülkeye büyük olanaklar sağladı . Kıbrıs sorununda	da	benzer bir anlayış egemen olamaz mı ?	NDC
SPY  ye göre parti sicillerinin Yargıtay Cumhuriyet Başsavcılığı tarafından tutulduğunu kaydeden Ünlü  Başsavcılığın parti genel başkanlarının adlarının sorulduğu tarihte 6 aylık ihtar süresinin dolmaması nedeniyle mevcut fiili ve hukuki duruma göre parti genel başkanlarının adlarını YSK  ye bildirdiğini anımsattı . Ünlü  YSK  nin	de	3 Kasım  da seçimi yapabilmek için mevcut fiili ve hukuki duruma göre gönderilen genel başkan isimlerine oy pusulalarında yer verdiğini söyledi .	NDC
Tufan Algan da 3 Kasım ile ilgili başvuruları değerlendireceklerini söylerken   Anayasa Mahkemesi  nin verdiği karar gereğince eğer kurulca geçmişe yönelik hukuki bir karar alınması gerekirse  onu	da	görüşeceğiz   dedi .	NDC
Bu arada Çakıcı  nın aramaları nedeniyle Interpol Daire Başkanlığı  İnfaz Büro Amirliği  nden gelen yazıyı  Adalet Bakanlığı  na gönderdi . Böylece hafta sonu mesaisine bakanlık	da	katıldı .	NDC
Adalet Bakanı Cemil Çiçek   çete  den   cinayete azmettirme  ye kadar pek çok suçtan 456 yıl hapsi istenmesine rağmen sadece 5 yıl 1 ay hapis cezası alan  önceki gün	de	tahliye edilerek serbest bırakılan Alaattin Çakıcı hakkında yargının yapacağı bir şey olmadığını söyledi .	DC
Evlilik aslında dünyada en sağlam müessesesidir . Roma  dan gelen bir formdur . Roma  dan beri ekonomik  politik sistemler değişmiş ama evlilik kurumu aynı çizgide kalmıştır . Batıda boşanmalar artıyor ancak gözden kaçan  boşananların	da	bir süre sonra tekrar evlenmesi .	NDC
Milliyet  i arayan Arınç   Yanlışlara ortak olmam  haberindeki ifadenin rahatsızlık yarattığını  Erdoğan  ın Danimarka  dan arayarak tepki gösterdiğini belirtti . Ankara Temsilcisi Fikret Bila	da	  Arınç  ı arayarak   Bir serzenişte bulunmuşsunuz  ama sözleriniz teypte böyle  isterseniz deşifresini okuyayım  dedi . Deşifre metnini dinleyen Arınç   Bunu demiş olabilirim  ama kastım bu değildi . Ben Erbakan  la Erdoğan  ı aynı kefeye koymam  dedi .	DC
Ama benim istediğim , bu yaşıma dek yaşadığım , seçtiğim bir hayat değil ki bu ! " dedim . Benim kendime ait olan hayatımda	da	insanlarım var , kalabalıklarım , tenhalıklarım var . Ne bileyim ben , bambaşka beklentilerim var , vazgeçemeyeceğim bir özgürlüğüm var , kendime ait bir yalnızlığım var . "	DC
6 Edebiyatta okuyan bu çocuk bana yapay bir yakınlık göstererek yaklaştı . Okuduğum kitapların isimlerini öğrenmek istediğini , kendisinin	de	onları okuyacağını söyledi .	DC
Tayyip Erdoğan  ' la ilgili çıkan Anayasa Mahkemesi kararını dinlerken de aynı duygulara kapıldım . Bizdeki yargı kararlarının ve kanunların arkasında	da	geçmişten kalma bir hesaplaşma anlayışı yatmıyor mu ?	DC
Günümüzde artık evliliğe bakış açısı değişti , daha katı bakılıyor . Özellikle metropol şehirlerde kadınlar artık maddi ve manevi bağımsızlığını ilan etmiş durumda . Kötü giden bir evlilikte çocukların	da	bir tampon olduğunu düşünmüyorum .	DC
Dolardaki düşüşte geçen cuma günü yurtdışı piyasalarda Türk eurobandlarına gelen talepte etkili oldu . Eurobondlara gelen talebin etkisiyle içeride	de	bono faizlerinin gerilemesi dolara satış olarak yansıdı .	NDC
Kalanların prosedürlerin tamamlanmasının ardından ihale yöntemiyle satılacağı ifade edilen raporda , " Ayda iki - üç adet ihale yapılarak , piyasadaki fiyatların asgari düzeyde etkilenmesine özen gesterilecektir " denildi . Batık banka patronlarından tahsilata önem verildiği belirtilen raporda , borçlularla gönüllü ödeme yollarının arandığı , açılan davalarla	da	hukuk mücadelesinin verildiği anlatıldı .	DC
Türkiye ' nin tanıtımına büyük destek sağlayacaktır . Türkiye ' nin imaj ve marka yaratmasında	da	avantaj sağlayacaktır .	DC
Herkes gülerken , kimi de yuh çekerken -askerdir , hoş görülür aslında- onlar	da	önlerini kapamaya çalışırken neye uğradıklarını şaşırmışlardı .	NDC
Baleye karşı da bir yeteneğimin olmadığı kısa sürede ortaya çıktı . Piyano  bale derken bu arada ilkokula başlama yaşım	da	gelmişti . Turizm ve Tanıtma Bakanlığının memur almak için bir sınav açtığını gazetede okumuştum .	NDC
Annesi , babası , kardeşi , bütün ailesi İstanbul da yaşıyordu . İlk , orta ve lise eğitimini	de	yine orada tamamlamıştı .	DC
Ne kadar tuhaf , hayatımda bütün arkadaşlarımı defalarca gördüm de , şu Osman ' a bir daha rastlamadım . Aradım ama kasetlerde	de	bulamadım onu . Kaderin oyunu işte . Bizim Osman ' ı kaydetmemiş . Ne yaparsın ?	NDC
Savcılık, doktorların, firmalarca stend yöntemini öğrenmeleri için yurtdışındaki seminerlere götürüldüklerini, seminer bitiminde ise, kendi masraflarını karşılayan firmaların malzemelerinin alınması için çok sayıda reçete yazdıklarını saptadı. Eğlence yerlerine de götürülen doktorların , buna karşılık , hayali hastalara reçete yazdıkları ya da reçetelerde bir hasta üzerinde çok sayıda tıbbi malzeme kullanmış gibi gösterdikleri	de	tespit edildi . 	DC
Bu aralık Mösyö Piyer etekleri yerlere sürünür derecede uzun bir rop dö şambr giymiş , başında rengâmiz tüylerle müzeyyen bir kadın şapkası , iki koltuğunda da birer bordo şişesi olduğu halde birdenbire meydana çıkıyor : " Kes köse kö lamur ? Se tön tambur ! se tön tambur ...  me mon şer kavaliye ! javü anfen kö lö bo seks vo miyö kün lapen ! " diye haykırıp sıçradıkça lândoyu deviriyorlar ! Lândonun içinden bir çift kaplumbağa ile bir	de	fino köpeği zuhur ediyor .	NDC
B tipi tahvil bono fonlarında ise minimum yüzde 51 Hazine bonosu devlet tahvili taşıma zorunluluğu bulunuyor . Ortalamada bu tür yatırım fonlarının yüzde 71 oranında Hazine bonosu taşıdığı görülüyor . Tür grubunda yer alan kimi yatırım fonları yüzde 50 minimum düzeydeyken bono oranını yüzde 100  lere kadar çıkartan yatırım fonları	da	görülebiliyor .	DC
Tür grubunda kimi yatırım fonu yüzde 25  lik minimum hisse senedi oranında seyrederken hisse senedi oranını yüzde 90  ların üzerine taşıyan yatırım fonları	da	yok değil .	DC
Ermeni Ante olmasa intihar edecek duruma gelmişti . Halil her gün şarap satın almaya gidiyor  bu bahaneyle	de	tek dostu olan Ante'yle konuşuyordu . Ante bu genç ressamın her sırrını biliyor ve onu çok iyi anlıyordu .	DC
Ante  Şemsî Ahmed Paşa'ya giderek görevinden ayrıldığını  bu yüzden	de	yeni bir iş kurması gerektiğini söyledi . Evliliğin birkaç ay ertelenmesini rica etti .	NDC
Bazen şiddetleniyor  bazen	de	tümüyle kesiliyordu .	NDC
Turistik gösteri ve törenler bölümüne verilmiştim . Küçük bir masam vardı . Zar zor bir	de	kül tablası edinmiştim .	NDC
Üç kişiydik   diyor İlhami   Ayı  ben  Macit . Suzan'ın boynuna ip bağlayıp götürdük .  Tiksinse	de	uzaklaşamıyor yanından .	DC
Sulu gözlüydün Nesli  bunu ne kadar gizlemeye çalışsan	da	 utanıyordun değil mi  bir devrimciye yakışmayan güçsüzlüklerdi bunlar  başaramıyordun .	DC
Fikirleri o dereceye kadar tevessü edince nasraniyet dahi kalmaz . Bunlara Avrupalı demek caiz olabilecekse	de	sözün doğrusunu söyleyelim ki terakkiyât-ı fikriyenin o derecesi Avrupa  da mehâsin-i ahlâk gayretinde bulunanlar nezdinde de istihsan edilememektedir .	DC
 Bihruz Bey yağız bir ata binmiş landoyu takip ediyorsa	da	bir türlü yetişemiyor  atı kırbaçlıyor  sürüyor  koşturuyor  tamam landoya yetişeceği vakit hayvan geri geri gitmeye başlıyor	DC
Nurhan masanın üzerindeki kitabı göstererek   Bu eseri seçti   dedi . Sabahat heyecanla  Ne kadar güzel  ne kadar güzel . Aslında bu eseri okumak  ondan sonra onun üzerinde konuşmak gerekirse	de	J .J . Rousseau  nun tezi hepimizi düşündürebilir .  	DC
Yani ona   Biz kartımızı vermiyoruz  sen kes sesini  git idareye haber ver   dedik . Birkaç arkadaşımıza da aynı öneride bulunduksa	da	kimse yanaşmadı .	DC
Başka bir çocuk  Hadi canım  yediğin tokatları kulağımızla duyduk   deyince Muzaffer Ateş  in ellerini birbirine vuruşundaki oyununu anladım . Keşke gerçekten beni dövseydi	de	bu yapaylığa gerek görecek kadar çapsız ve kişiliksiz bir öğretmen olmasaydı diye düşündüm . 	DC
Ve ülkelerinin insanlarını seviyorlardı . Ama kendilerini her ne kadar vatan uğruna ölmeye hazırız deseler	de	her şeyin üzerinde seviyor .	DC
Ege  nin uykusuzluğu  halsizliği bundanmış meğer .      İçki alabilmek için anneannesinin armağan ettiği Rus montürlü pırlanta yüzüğü Beyoğlu  nda bir emanetçiye verebilecek kadar çok sevdiği Ege  nin  Meltem  le olan ilişkisini öğrenince yıkılmış . Yalanla  iki yüzlülükle ilk karşılaşmasıymış bu . Büyük bir sarsıntı geçirmişse	de	  toparlanması fazla uzun sürmemiş . 	DC
O sinirle telefonun fişini çekmek için kabloya nasıl asıldıysam duvarın yarısı elimde kaldı . Gece direndiysem	de	  ertesi gün yine teslim oldum ona .	DC
Yine hiçbir şey söylemeden gidip karşı büfeden Raif Beyin sigarasını aldım . Saat beşe kadar zor bekledim . Eve ulaşana dek kendimi tuttuysam	da	  içeriye girer girmez hüngür hüngür ağlamaya başladım . 	DC
atıl istihdamda izlenecek yolda kesin karar vermediklerini de belirtti . Şahin   IMF istese	de	istemese de kamuda rahatlama için emekliliği gelenleri emekli etmeyi düşünüyoruz  dedi .	DC
Cebeci  Diyarbakır ve Malatya  da en gelişmiş askeri radar sistemi bulunduğunu belirterek  kaptan pilot askeri kökenli ve bu radar hakkında eğitimli olsa	da	bu radarı hukuken kullanmalarında sorun bulunduğunu söyledi .	DC
Çünkü fark ediyordum ki  babam genç kızlara ve kadınlara hiç	de	iyi gözle bakmıyordu  bu yüzden annemle arada bir tartıştıkları da oluyordu .	NDC
Medya halkın duygularına ve ihtiyaçlarına binaen birbirinden güzel yayınlar yaptı	da	bundan kim zarar gördü  ?	DC
Pazar günü oy kullanacağız . 1991 seçimlerindeki gibi tercih sistemi uygulanmadığı için seçilecek partinin milletvekili listesi	de	benimsenmiş olacak . Çünkü liderler sizin adınıza en iyi seçimi yaptılar !	NDC
UEFA Kupası ' nı almakla ülkeye büyük kötülük etti	de	biz mi ayrımına varamadık .	DC
Karıştır babam karıştır ... Beyin yıkama dedim	de	, aklıma yaşlı amca geliverdi . Pazar sabahı kongredeydim .	DC
İnsanlık eğitimi alsınlar diyorsunuz	da	Var mı o eğitimi verecek insan .	DC
Ben de severim ama pislik içinde otursun	da	göreyim .	DC
Herkes senin iyi bir yardımcı yönetmen olduğunu söylüyor . Gel	de	boyunu posunu bir görelim .	DC
Ve kendisi söyledi yani ben akşam da müsaitim , hatta yarın Birleşmiş Milletler'de toplantı var , yarın akşam	da	müsaitim , ne zaman isterseniz tekrar görüşebiliriz dedi .	DC
güvenlik , siyasi egemenlik ve ekonomi ( altyapı ve hizmetler ) olmak üzere üç başlığa ayırıyor ve esasen her başlıkta	da	, Irak'ın kendi yerli kapasitesinin hazırlanması , güçlendirilmesi ve devreye sokulması amacıyla hareket ettiğini söylüyor .	NDC
Baro , meslek sorunları için savaşırken , halkın dertlerine kayıtsız kalamazdı , kalmadı	da	. Derdi büyüten deprem Sakarya , 17 Ağustos depreminden en fazla etkilenen illerden .	DC
Mesajlaşma uzun sürünce Kız arkadaşımla , kavga ettik diye açıklama yaptı	da	oradan biliyorum detayları . Üstelik kavga da mesajla yapılmış .	DC
Niye bu şimdiye kadar açıklanmadı	da	böyle bir ortamda açıklandı , onu öğrenmek istiyorum ...	DC
2001 yılındaki krizi takiben 2002 yılı	da	oldukça durgun geçmişti . 2003 yılı başlarında da Irak savaşı patlak verdi .	NDC
Dünya Bankası'nın itirazlarına rağmen , taslakta Türk şirketlerini korumaya yönelik düzenlemeler	de	bulunuyor . 18 Ekim Dünya Bankası , IMF ve Avrupa Birliği ile çetin pazarlıklara sahne olan yeni devlet ihale kanunu taslağı büyük ölçüde tamamlandı .	NDC
Tabi bu ikinci bir tezkerede onay anlamına gelmeyeceğini ta o zamanda da söyledik ve Sayın Başbakan	da	bunları ifade etti . Şu anda ki işin tabi ikinci tezkereyle ilgili sürekli olarak şu tarihde bu belirlenmeli yani denildiği zaman , dendi , adı bile kondu	NDC
Demoların yanında kitabı tanıtan birer	de	broşür yer alıyor . Ancak bu broşürleri yanınıza alıp yolda karıştırabileceğinizi sanmayın !	NDC
Koltukların kollukları onların birbirlerine yaklaşıp film boyunca konuşmalarını engelleyemez . O hoş ve	de	oldukça boş muhabbetlerinin nedense sizi de ilgilendirdiğini düşünerek fısıldamayı tercih etmezler . Konuşur , gülüşür , eğlenirler .	NDC
Karbonhidrat Diyeti : Özellikle kadınların karbonhidratlı gıdalara eğilimi yüksektir . Ekmek ya	da	makarnasız kendini doymuş hissetmeyenler bu diyeti uygulayabilir .	NDC
Sana kıyamıyoruz kızım . İşini çabuk bitir	de	in aşağıya . Tam kapıyı açıp içeriye gireceği sırada annesi aşağıdan tekrar seslendi .	DC
Göz tansiyonu demek gözün içinde basıncını sağlayan bir sıvı yapılır . Bir bölgeden	de	atılır . Eğer yapılan sıvı , atılan sıvıdan daha fazlaysa , gözün basıncı yükselecektir .	DC
Türkiye'deki yatırım ortamının iyileştirilmesi ve yabancı sermayenin daha fazla miktarda Türkiye'ye çekilebilmesi için yürütülen çalışmalar kapsamında kurulan teknik komiteler , değerlendirme toplantıları yapıyor . Hazine Müşteşarlığı'nda bu konuya ilişkin çalışmalar , bugün	de	sürdürülürken Yabancı Sermaye Yasa Tasarısı'nın da hazır olduğu belirtildi .	NDC
Çalıştırmak için tek yapmanız gereken , Bullet Kaplarından ya	da	Parti Kupalarından birini Yüksek Devirli Güç Bölmesine yerleştirmek ve basmak . Ne kadar basit değil mi ?	NDC
Siyah var her zamanki gibi , beyaz , uçuk pembe , turkuaz , puro rengi , pas rengi ve lapis kullandım . File	de	bolca kullanıldı . Şimdi kimleri giydiriyorsunuz ?	DC
Bu okulların gelirlerinin yüzde 65’i her yıl personel giderleri olarak ödenir ve	de	bu yüzde 65’in yüzde 33’ü yani veliden aldığınız her 100 liranın 33 lirasını her ay siz devlete vergi diye geri ödersiniz .	NDC
Aldığınız sağlık kurulu raporu nedeniyle babanızdan almaya başladığınız yetim aylığı anneniz vefat etse de devam eder . Sağlık yardımlarınız	da	devam eder . Sahte danışmanlara dikkat !	DC
Bir şekilde çocukları muhafaza edebilirdik , ve madem depremden sağ kurtulmuştum , hiç değilse orada kalıp diğerlerine yardım etmeliydim , bir parça yıkıntıyı	da	ben kaldırmalıydım . Bu bir günah çıkarma değil , hakiki bir pişmanlığın ifadesidir .	DC
bankazedelerin durumunu benzetecek başka örnek bulamadı mı , buldu	da	gündem de kalmak için mi böyle hassas bir konuyu deşiyor	DC
Mimarlar Odası’nın MYK Merkez Yönetim Kurulu’nun güveniyle 2002 Şubat ayında Bilim Kurulu Başkanlığını , daha sonra	da	hem Bilim Kurulu , hem de Kongre Başkanlığını Haziran 2004 tarihine değin yürüttüm .	NDC
Ne kadar abuk bir iş olursa olsun , onun gerçekliğine karşısındakini ( figüranı ) ikna etmeye çabalıyor ... Ediyor	da	. Özet : Abuk olan ben değilim , durum , senaryo değil , sizsiniz !	DC
Peki ekonomik ve sosyal konseyin lafı çok edilir	de	pek bu toplanmaz . Ben konuyu biraz daha getirmek istiyorum .	DC
Yazıyoruz	da	ne yazıyoruz .	DC
takip etmeye çalışıyoruz kendilerini sahnelerde . pek ışıltılı bir gülüşü var , ses tonu	da	hoş . pek de gençmiş .	DC
Medeniyetler buluşmasına evsahipliği yapan İstanbul , tam	da	medeniyetlerin kavşağında olan bir düşünce , kültür ve siyaset merkezidir .	NDC
Birçok kişi de sırf bu konuyu anlayamadığı için daha başlamadan solculuktan istifa etti	de	, hayatını kurtardı . Efendim , diyalektik için kısaca zıtların birliği diyebilirsiniz .	DC
Galatasaray - Fener maçı var , onu	da	konuşabilirdik . Ama gündemde tabi ciddi ekonomi tartışmaları var Türkiye'de .	DC
Derviş , genel müdür yardımcılarının maaşlarının	da	2 milyar 750 milyon ile 5 milyar 166 milyon lira arasında değiştiğini belirtti .	NDC
işgale ortak olmaya Hayır deme cesaretini göstermiştir . Ve korkulan olmamış , ne ekonomi çökmüş ne	de	Türkiye krize girmiştir . Şimdi ABD'nin hedefinde Suriye ve İran var .	NDC
Loeb , bu sezon koşulan 15 rallinin 10'unu kazandı ve vatandaşı Didier Auriol'un 1992'de altı yarışla elde ettiği bir sezonda en fazla yarış kazanma rekorunu kırdı . Loeb , ayrıca bu sezon üst üste altı yarış kazanarak bu daldaki rekoru	da	eline geçirdi .	DC
Bu programın dışına çık	da	gör , krizin alası tepende patlar ...	DC
yoksa bu servis sağlayıcının ismindeki TNN kelimesi başka bir anlama mı geliyor	da	Türkiye ' deki böyle önemli bir haberi vermemiş olsunlar .	DC
Öğrencilerin Evet yanıtı vermesi üzerine de Şener , Bu basın gitsin	de	ondan sonra söyleyeyim , olmaz mı ?	DC
Şimdi eyalet sistemi hakkında bir soru geldi , buna ben eyalet sistemi diye formüle etmek istemiyorum	da	şöyle diyeceğim , Türkiye aşırı merkeziyetçi bir siyasal yapıya mı sahiptir ?	DC
Olmazsa Ankara'da olduğu gibi eski liderler birbiriyleriyle nasıl anlaşamıyordu ayrıldı . Orada	da	herhalde bu liderlerin yerine başkaları gelip de bu işi çözecekler . Bunun anlamı , çok zaman kaybederiz .	NDC
Bu akşam Avrupa Birliği büyükelçileriyle yemekte birarada olacaksınız . Öğleden sonra	da	Avrupa Birliği genel sekreteri ve diğer diplomatlardan brifing aldınız .	NDC
Yani her şeye rağmen vergi gelirlerinde zaten IMF	de	bunu öngördüğü için harcama kısılması yoluna gitmiş .	NDC
Hayır , sen sonuca bak ama , Türkiye’de bir terslik var yani . Şimdi şunu bitir	de	biz de bir şey söyleyelim .	DC
Günümüzde çok sayıda ülkede gözlemi yapılmayan bu parametrenin yapılar üzerindeki olumsuz etkilerinin çok iyi bilinmesi nedeniyle , matematiksel olarak hesaplanması için yöntemler araştırılmış ve sürüklenen yağışların gözlemi yapılmadan	da	hesaplanabilmesi için bazı formüller geliştirilmiştir .	NDC
Rumsfeld'in temaslarının ardından bin Amerikan piyadesi Özbekistan'a doğru yola çıktı . Özbekistan lideri Kerimov	da	, Amerikan ordusuna bir üs tahsis edildiğini açıkladı . Özbekistan Devlet Başkanı İslam Kerimov , Amerikan Savunma Bakanı Rumsfeld'le yaptığı görüşmenin ardından .	DC
Öğrencinin ağırlıklı bilim dalı ve item 2 Fen ve matematik öğrencileri , öğrencinin uyarılıp yerine oturtulması ve uyarıda bulunmadan yerlerine oturtulmaları konusunda farklı düşünmektedirler . Kabul kağıdı için idareye gönderme hususunda	da	matematik grubu diğer gruplardan farklı düşünmektedir .	NDC
Yoksulluk değil , açlık sınırının altında yaşayan , hiçbir gelecek duygusu olmayan bu insanlar aralarında her gün konuştukları konuyu bize de açıyorlar : Bir yazıverseniz	de	fıstığın çekisine 6 yerine 10 milyon lira verseler ...	DC
AB ile 40 yıla yakın bir süredir devam eden ortaklık ilişkimiz , her iki taraftan da kaynaklanan nedenlerle istenen hızda ilerlememiştir . Türkiye’nin bu süreçte önüne çıkan fırsatları değerlendiremediği	de	hepimizce bilinmektedir .	DC
Uyandırana Allah lanet etsin ! Gerçekten	de	insanın içindeki yalnız nikahlısına karşı beslediği cinsel hisleri , başkalarına karşı uykudadır .	NDC
Yurtdışında insanlar rahatlığa çok önem veriyor . Bu terlikler	de	güzellikten çok , rahatlık düşünülerek hazırlandı .	DC
Kendi kendime Adamlar alkol sevmiyorlarmış dedim ve beklemeye başladım . Yemek gelsin	de	, karnımı doyurayım . Neresinden bakarsanız bakın , yine de 3 saatlik bir uçuş ...	DC
- Hatırlıyor musun , yıllar önce diş hekimleri odası başkanı olmak istemiştin	de	247 oy eksikti .	DC
Bayram diye , herkes eş , dost , arkadaşlarını	da	dâvet etmiş ... Aya Nikola’nın şatafatlı iç mekânı , dört bir yanda mumlar nedeniyle , olağanüstü göz kamaştırıcı idi .	NDC
Midesinden rahatsızlandığı açıklanan ve bu nedenle Cumhuriyet Bayramı Töreni'ne katılamayan Yıldırım'ın sağlıklı olduğu gözlendi . Yıldırım , PAF takımlar arasındaki mücadeleyi	de	takip etti . Başkan maçtan sonra da soyunma odasına inerek takımı ve Zico'yu kutladı .	DC
Şimdi ona özenip yollara düşen kızların başına neler gelmez ki ! Yok eğer Türkiye değişti	de	biz farkında değilsek , pardon ...	DC
Herhangi bir millet , bir başka milletin bir despottan kurtulması veya daha insanca yaşaması için varlığını tehlikeye sürmemiştir ve sürmez	de	. Karşılıksız varlığını tehlikeye sürmek , ilahiliğine inanılan hususlar için söz konusudur .	DC
İş Kurumu ile Küçük ve Orta Ölçekli Sanayi Geliştirme ve Destekleme İdaresi Başkanlığı'nın da destek verdiği projeler ile bankacılık sektöründe meydana gelen işsizliğin yarattığı sosyal sorunların giderilmesi amaçlandı .  Projenin ilk ayağında işsiz bankacıların , bankacılık sektörü dışındaki alanlarda	da	istihdamına yönelik eğitim kursları yer alıyor . Bu konuda hazırlanan eylem planına göre İş Kurumu , işsiz bankacıların eğitimi için bir ihale açacak .	NDC
Köksal , internette Türkçeyi kullanmak için kişinin kişisel bilgisayarına Türkçe kullanmak istediğini belirten bir yazılımı bir kez yüklemesi ve metni kendisinin doğru yazması gerektiğini kaydetti . Yazılım kodunu yüklemeye üşenen ya	da	Türkçe harfleri taşınması gereksiz bir yük gibi gören kimi kişilerin , dili bozup yozlaştırarak bunun suçunu haksız yere yeni teknolojiye yüklemesinin şaşırtmaca olduğunu ifade eden Köksal	NDC
bayrama daha çok var , bekle	de	, gelince bayramlaş .	DC
Nerde onda o bilek , o yürek Ne alakası var diyeceksiniz ama işte bu elemanın da yarıştığı yarışı izlemiştim	de	oradan aklıma geldi . Volkan olsa herif bu kadar rahat mı olurdu ?	DC
Geçen yıl İsveç'in AB dönem başkanlığı sırasında Götebourg'ta yapılan toplantı , bu yıl	da	İspanya'nın AB dönem başkanlığı sırasında ABD'de düzenlenecek denilmektedir .	NDC
eve yeni geldim	de	okuyamadım ya yine niye kimse beni ciddiye almıyor .	DC
Çok güçlü ve kolay bir program . GNU lisanslı olması	da	çok büyük bir artı .	DC
Çok yakışıklısın hem de oyunculukta yeni olmana rağmen hayat bilgisindeki başarın kadar acemi cadıda	da	aynı performansı gösterdiğine inanıyorum .	NDC
Ama benim içimdeki müziğe dökülünce şarkılar çıkıyor . Ben insanları	da	çok gözlemlerim , başkalarının hikayelerinden çıkardığım çok şarkı vardır .	NDC
Sezonun 3. Grand Slam mücadelesi olan 118. Wimbledon Tenis Turnuvası'nda , tek erkeklerde İsviçreli Roger Federer 2. kez üstüste , tek bayanlarda	da	Rus Maria Sharapova ilk kez şampiyonluğu kazandı .	NDC
Benim iyi oynamam ya	da	kötü oynamam birden olay oluyor . İnsanlar en ufak bir açığımı yakalama derdindeler …	NDC
Kapatmadan önce " son bir fotoğraf gelsin	de	yorumlayayım " diye bekledim ya değdi .	DC
Bir parfüm nasıl ortaya çıkar ? Yani bir gün bir koku duyar	da	Tamam bunu yapacağım mı dersiniz ?	DC
6 yıl sonra David James'in uzun pasında Costinha'nın müthiş hatasında , 3. dakikada İngiltere'yi 1 - 0 öne geçirmeyi başardı . Bundan sonra	da	her akınlarında o vardı . Ev sahibini beklemediği bir planla bozmayı amaçlıyorlardı .	NDC
Dışişleri Bakanı Gül ABD’de bu konuda temaslar yapıyor ... Yapıyor	da	: Beyler siz Irak’da yüz binlerce masumu öldürürken hangi yüzle 90 yıl önceki olayın hesabını soruyorsunuz , diyebiliyor mu ?	DC
Ama hemen herkes Türkiye'ye AB üyeliği konusunda açık ve net bir perspektif verilmesini istiyor . Yakın zamanda Türkiye'nin özel kategoride değil	de	, tam anlamıyla aday olması ihtimalini görüyor musunuz ? Tam anlamıyla aday ne anlama gelir ?	NDC
Sana gelirken yolda sürçüp düşenleri , yolunun delisi sadık bendelerin gibi arındırıp mükâfatlandırdın . Şimdiye kadar Sana misafir olmuş	da	ziyafet görmemiş , kapının tokmağına dokunmuş da cevap almamış kimse yoktur .	DC
Güzergahlara yol boyunca resmi polisler belli mesafelerde dizilecek . Yoldaki alt geçitlerin üstü , üst geçitlerin	de	tepesi özel harekat personeli tarafından korunacak . Yol güzergahındaki hakim tepeler ile yüksek binalarda da özel harekatçılar yerlerini alacaklar .	NDC
Hele söyleşi yapıyorsa , inceden inceye araştırır , araştırmalıdır	da	. Not tutma alışkanlığım zaman zaman yerini teybe bırakıyor artık .	DC
Aha abi geliyorlar , hadi gene topal taklidi yap	da	neşelenelim . Bastık kahkahayı ... Yani neticede topal taklidi yapan köpek bile gördü bu gözler ...	DC
Biz Türkler , Yunanlılar'a dönerimize , kahvemize , baklavamıza sahip çıktıkları için de kızarız ama asıl golü meğer sirtakide yemişiz ! Ben yeni öğrendim ama mutlaka bilenler vardır , meğer sirtakinin	de	kökeni İstanbul'a dayanıyormuş !	NDC
Bu konuda kendimi geliştirmeye açığım . Komik olmalıyım , güldürmeliyim ve	de	aşık olmalıyım . Bu filmde kimse ölmüyor ya da kimse korkutulmuyor .	NDC
Bütün bu kuruluşların Erdemir’e talip olması , biraz önce sizin	de	belirtmiş olduğunuz gibi Erdemir’in piyasasıyla yakından ilgili .	NDC
Oruç başıma vurmadan konuyu anlatayım	da	bilgilenin .	DC
Truva filminden sonra Çanakkale ve Çorum'un mezarını paylaşamadığı Aşil'in mızrağının	da	Antalya Phaselis'te olduğu iddia ediliyor ...	NDC
Madem bu adamlar bu kadar örnek alınıyorlar , o zaman onlar da laflarına , yaşam tarzlarına biraz dikkat edecekler . Zaten toplum olarak Aman bir laf etmeyeyim	de	aşıma iş açılmasın . mantığıyla ilerleyen bir milletiz , bunun üstüne bir de futbolculara Konuşma yasağı getiren yöneticiler eklenince tuz biber oluyor .	DC
O kadar uyardık dinlemedin ... Şimdi otur orda soğukta sekiz saat bekle	de	gör şeklinde sitemde bulunulur ...	DC
Bunun dışında bu konudan bir haber durumda olan Fransız parlamenterlerin ya	da	başka ülkelerin politikacılarının popülist kararları sadece ve sadece bu sorunun nihai ve barışa katkılı bir çözümüne zarar verecektir .	NDC
